year,week,top_12_gross,top_12_change,total_gross,total_change,movies_count,top_movie,week_num,table_link,inflation_adjustment,infl_adj_top_12,infl_adj_total
1982,Dec. 31-Jan. 6,"$66,883,950 ",-22.70%,"$68,287,950 ",-24.10%,13,Tootsie,53,/weekly/chart/?yr=1982&wk=53&p=.htm,2.7619,"$184,727,100 ","$188,604,814.29 "
1982,Dec. 24-30,"$86,557,312 ",48.10%,"$89,953,820 ",51.00%,14,Tootsie,52,/weekly/chart/?yr=1982&wk=52&p=.htm,2.7619,"$239,063,052 ","$248,443,883.81 "
1982,Dec. 17-23,"$58,465,780 ",87.30%,"$59,568,384 ",87.80%,13,Tootsie,51,/weekly/chart/?yr=1982&wk=51&p=.htm,2.7619,"$161,476,916 ","$164,522,203.43 "
1982,Dec. 10-16,"$31,220,584 ",82.00%,"$31,717,766 ",84.90%,14,The Toy,50,/weekly/chart/?yr=1982&wk=50&p=.htm,2.7619,"$86,228,280 ","$87,601,448.95 "
1982,Dec. 3-9,"$17,156,522 ",-43.80%,"$17,156,522 ",-43.80%,12,First Blood,49,/weekly/chart/?yr=1982&wk=49&p=.htm,2.7619,"$47,384,680 ","$47,384,679.81 "
1982,Nov. 26-Dec. 2,"$30,504,207 ",-14.20%,"$30,504,207 ",-15.50%,12,E.T.,48,/weekly/chart/?yr=1982&wk=48&p=.htm,2.7619,"$84,249,715 ","$84,249,714.57 "
1982,Nov. 19-25,"$35,551,859 ",19.50%,"$36,111,001 ",21.10%,14,The Empire Strikes Back (Re-issue),47,/weekly/chart/?yr=1982&wk=47&p=.htm,2.7619,"$98,190,849 ","$99,735,145.62 "
1982,Nov. 12-18,"$29,751,824 ",6.90%,"$29,819,349 ",7.20%,13,Creepshow,46,/weekly/chart/?yr=1982&wk=46&p=.htm,2.7619,"$82,171,704 ","$82,358,202.00 "
1982,Nov. 5-11,"$27,828,149 ",-6.70%,"$27,828,149 ",-6.70%,12,First Blood,45,/weekly/chart/?yr=1982&wk=45&p=.htm,2.7619,"$76,858,697 ","$76,858,697.24 "
1982,Oct. 29-Nov. 4,"$29,811,695 ",-17.80%,"$29,811,695 ",-18.40%,11,First Blood,44,/weekly/chart/?yr=1982&wk=44&p=.htm,2.7619,"$82,337,062 ","$82,337,062.38 "
1982,Oct. 22-28,"$36,276,882 ",122.10%,"$36,520,493 ",123.60%,13,First Blood,43,/weekly/chart/?yr=1982&wk=43&p=.htm,2.7619,"$100,193,293 ","$100,866,123.52 "
1982,Oct. 15-21,"$16,334,214 ",-24.90%,"$16,334,214 ",-24.90%,10,E.T.,42,/weekly/chart/?yr=1982&wk=42&p=.htm,2.7619,"$45,113,543 ","$45,113,543.43 "
1982,Oct. 8-14,"$21,759,308 ",-6.90%,"$21,759,308 ",-6.90%,11,An Officer and a Gentleman,41,/weekly/chart/?yr=1982&wk=41&p=.htm,2.7619,"$60,097,136 ","$60,097,136.38 "
1982,Oct. 1-7,"$23,374,907 ",-19.40%,"$23,374,907 ",-19.40%,12,E.T.,40,/weekly/chart/?yr=1982&wk=40&p=.htm,2.7619,"$64,559,267 ","$64,559,266.95 "
