Date,Rank,Yesterday's Rank,Movie,Distributor,Genre,Gross,Change,Thtrs.,Per Thtr.,Total Gross,Days,Movie Tag
7/18/08,1,new,The Dark Knight,Warner Bros.,Action,67165092,,4366,15384,67165092,1,Dark-Knight-The
7/19/08,1,-1,The Dark Knight,Warner Bros.,Action,47650240,-29%,4366,10914,114815332,2,Dark-Knight-The
7/20/08,1,-1,The Dark Knight,Warner Bros.,Action,43596151,-9%,4366,9985,158411483,3,Dark-Knight-The
7/21/08,1,-1,The Dark Knight,Warner Bros.,Action,24493313,-44%,4366,5610,182904796,4,Dark-Knight-The
7/22/08,1,-1,The Dark Knight,Warner Bros.,Action,20868722,-15%,4366,4780,203773518,5,Dark-Knight-The
7/23/08,1,-1,The Dark Knight,Warner Bros.,Action,18377288,-12%,4366,4209,222150806,6,Dark-Knight-The
7/24/08,1,-1,The Dark Knight,Warner Bros.,Action,16464405,-10%,4366,3771,238615211,7,Dark-Knight-The
7/25/08,1,-1,The Dark Knight,Warner Bros.,Action,23232292,41%,4366,5321,261847503,8,Dark-Knight-The
7/26/08,1,-1,The Dark Knight,Warner Bros.,Action,28272494,22%,4366,6476,290119997,9,Dark-Knight-The
7/27/08,1,-1,The Dark Knight,Warner Bros.,Action,23661680,-16%,4366,5420,313781677,10,Dark-Knight-The
7/28/08,1,-1,The Dark Knight,Warner Bros.,Action,10518116,-56%,4366,2409,324299793,11,Dark-Knight-The
7/29/08,1,-1,The Dark Knight,Warner Bros.,Action,9629366,-8%,4366,2206,333929159,12,Dark-Knight-The
7/30/08,1,-1,The Dark Knight,Warner Bros.,Action,8755141,-9%,4366,2005,342684300,13,Dark-Knight-The
7/31/08,1,-1,The Dark Knight,Warner Bros.,Action,8402546,-4%,4366,1925,351086846,14,Dark-Knight-The
8/1/08,2,-1,The Dark Knight,Warner Bros.,Action,12709035,51%,4266,2979,363795881,15,Dark-Knight-The
8/2/08,1,-2,The Dark Knight,Warner Bros.,Action,17191150,35%,4266,4030,380987031,16,Dark-Knight-The
8/3/08,1,-1,The Dark Knight,Warner Bros.,Action,12764034,-26%,4266,2992,393751065,17,Dark-Knight-The
8/4/08,1,-1,The Dark Knight,Warner Bros.,Action,6287429,-51%,4266,1474,400038494,18,Dark-Knight-The
8/5/08,1,-1,The Dark Knight,Warner Bros.,Action,5661240,-10%,4266,1327,405699734,19,Dark-Knight-The
8/6/08,3,-1,The Dark Knight,Warner Bros.,Action,5077367,-10%,4266,1190,410777101,20,Dark-Knight-The
8/7/08,2,-3,The Dark Knight,Warner Bros.,Action,4734366,-7%,4266,1110,415511467,21,Dark-Knight-The
8/8/08,2,-2,The Dark Knight,Warner Bros.,Action,7577362,60%,4025,1883,423088829,22,Dark-Knight-The
8/9/08,1,-2,The Dark Knight,Warner Bros.,Action,10502243,39%,4025,2609,433591072,23,Dark-Knight-The
8/10/08,1,-1,The Dark Knight,Warner Bros.,Action,8037425,-23%,4025,1997,441628497,24,Dark-Knight-The
8/11/08,2,-1,The Dark Knight,Warner Bros.,Action,3742198,-53%,4025,930,445370695,25,Dark-Knight-The
8/12/08,1,-2,The Dark Knight,Warner Bros.,Action,3515389,-6%,4025,873,448886084,26,Dark-Knight-The
8/13/08,2,-1,The Dark Knight,Warner Bros.,Action,3002302,-15%,4025,746,451888386,27,Dark-Knight-The
8/14/08,2,-2,The Dark Knight,Warner Bros.,Action,2814471,-6%,4025,699,454702857,28,Dark-Knight-The
8/15/08,3,-2,The Dark Knight,Warner Bros.,Action,4937955,75%,3590,1375,459640812,29,Dark-Knight-The
8/16/08,2,-3,The Dark Knight,Warner Bros.,Action,6708833,36%,3590,1869,466349645,30,Dark-Knight-The
8/17/08,2,-2,The Dark Knight,Warner Bros.,Action,4732505,-29%,3590,1318,471082150,31,Dark-Knight-The
8/18/08,2,-2,The Dark Knight,Warner Bros.,Action,2112203,-55%,3590,588,473194356,32,Dark-Knight-The
8/19/08,2,-2,The Dark Knight,Warner Bros.,Action,2148332,2%,3590,598,475342688,33,Dark-Knight-The
8/20/08,2,-2,The Dark Knight,Warner Bros.,Action,1805312,-16%,3590,503,477148000,34,Dark-Knight-The
8/21/08,2,-2,The Dark Knight,Warner Bros.,Action,1726461,-4%,3590,481,478874461,35,Dark-Knight-The
8/22/08,4,-2,The Dark Knight,Warner Bros.,Action,2991066,73%,3163,946,481865527,36,Dark-Knight-The
8/23/08,3,-4,The Dark Knight,Warner Bros.,Action,4474170,50%,3163,1415,486339697,37,Dark-Knight-The
8/24/08,4,-3,The Dark Knight,Warner Bros.,Action,3077188,-31%,3163,973,489416885,38,Dark-Knight-The
8/25/08,4,-4,The Dark Knight,Warner Bros.,Action,1183256,-62%,3163,374,490600141,39,Dark-Knight-The
8/26/08,4,-4,The Dark Knight,Warner Bros.,Action,1102337,-7%,3163,349,491702478,40,Dark-Knight-The
8/27/08,3,-4,The Dark Knight,Warner Bros.,Action,986453,-11%,3163,312,492688931,41,Dark-Knight-The
8/28/08,3,-3,The Dark Knight,Warner Bros.,Action,982116,n/c,3163,311,493671047,42,Dark-Knight-The
8/29/08,5,-3,The Dark Knight,Warner Bros.,Action,2141354,118%,2750,779,495812401,43,Dark-Knight-The
8/30/08,3,-5,The Dark Knight,Warner Bros.,Action,3246469,52%,2750,1181,499058870,44,Dark-Knight-The
8/31/08,2,-3,The Dark Knight,Warner Bros.,Action,3235056,n/c,2750,1176,502293926,45,Dark-Knight-The
9/1/08,2,-2,The Dark Knight,Warner Bros.,Action,2504411,-23%,2750,911,504798337,46,Dark-Knight-The
9/2/08,3,-2,The Dark Knight,Warner Bros.,Action,619463,-75%,2750,225,505417800,47,Dark-Knight-The
9/3/08,2,-3,The Dark Knight,Warner Bros.,Action,536323,-13%,2750,195,505954123,48,Dark-Knight-The
9/4/08,2,-2,The Dark Knight,Warner Bros.,Action,528416,-1%,2750,192,506482539,49,Dark-Knight-The
9/5/08,4,-2,The Dark Knight,Warner Bros.,Action,1464776,177%,2575,569,507947315,50,Dark-Knight-The
9/6/08,3,-4,The Dark Knight,Warner Bros.,Action,2736020,87%,2575,1063,510683335,51,Dark-Knight-The
9/7/08,3,-3,The Dark Knight,Warner Bros.,Action,1314323,-52%,2575,510,511997658,52,Dark-Knight-The
9/8/08,3,-3,The Dark Knight,Warner Bros.,Action,377264,-71%,2575,147,512374922,53,Dark-Knight-The
9/9/08,3,-3,The Dark Knight,Warner Bros.,Action,454109,20%,2575,176,512829031,54,Dark-Knight-The
9/10/08,3,-3,The Dark Knight,Warner Bros.,Action,409422,-10%,2575,159,513238453,55,Dark-Knight-The
9/11/08,3,-3,The Dark Knight,Warner Bros.,Action,426158,4%,2575,165,513664611,56,Dark-Knight-The
9/12/08,7,-3,The Dark Knight,Warner Bros.,Action,1116108,162%,2191,509,514780719,57,Dark-Knight-The
9/13/08,5,-7,The Dark Knight,Warner Bros.,Action,1951731,75%,2191,891,516732450,58,Dark-Knight-The
9/14/08,6,-5,The Dark Knight,Warner Bros.,Action,1060314,-46%,2191,484,517792764,59,Dark-Knight-The
9/15/08,6,-6,The Dark Knight,Warner Bros.,Action,277347,-74%,2191,127,518070111,60,Dark-Knight-The
9/16/08,6,-6,The Dark Knight,Warner Bros.,Action,306209,10%,2191,140,518376320,61,Dark-Knight-The
9/17/08,6,-6,The Dark Knight,Warner Bros.,Action,292421,-5%,2191,133,518668741,62,Dark-Knight-The
9/18/08,6,-6,The Dark Knight,Warner Bros.,Action,306112,5%,2191,140,518974853,63,Dark-Knight-The
9/19/08,10,-6,The Dark Knight,Warner Bros.,Action,803027,162%,1905,422,519777880,64,Dark-Knight-The
9/20/08,9,-10,The Dark Knight,Warner Bros.,Action,1391638,73%,1905,731,521169518,65,Dark-Knight-The
9/21/08,9,-9,The Dark Knight,Warner Bros.,Action,720509,-48%,1905,378,521890027,66,Dark-Knight-The
9/22/08,9,-9,The Dark Knight,Warner Bros.,Action,216153,-70%,1905,113,522106180,67,Dark-Knight-The
9/23/08,9,-9,The Dark Knight,Warner Bros.,Action,235606,9%,1905,124,522341786,68,Dark-Knight-The
9/24/08,9,-9,The Dark Knight,Warner Bros.,Action,231250,-2%,1905,121,522573036,69,Dark-Knight-The
9/25/08,9,-9,The Dark Knight,Warner Bros.,Action,237227,3%,1905,125,522810263,70,Dark-Knight-The
9/26/08,-,-9,The Dark Knight,Warner Bros.,Action,426875,80%,1406,304,523237138,71,Dark-Knight-The
9/27/08,-,(-),The Dark Knight,Warner Bros.,Action,821336,92%,1406,584,524058474,72,Dark-Knight-The
9/28/08,-,(-),The Dark Knight,Warner Bros.,Action,416210,-49%,1406,296,524474684,73,Dark-Knight-The
9/29/08,-,(-),The Dark Knight,Warner Bros.,Action,124863,-70%,1406,89,524599547,74,Dark-Knight-The
9/30/08,-,(-),The Dark Knight,Warner Bros.,Action,141095,13%,1406,100,524740642,75,Dark-Knight-The
10/1/08,-,(-),The Dark Knight,Warner Bros.,Action,133430,-5%,1406,95,524874072,76,Dark-Knight-The
10/2/08,-,(-),The Dark Knight,Warner Bros.,Action,129102,-3%,1406,92,525003174,77,Dark-Knight-The
10/3/08,-,(-),The Dark Knight,Warner Bros.,Action,231094,79%,663,349,525234268,78,Dark-Knight-The
10/4/08,-,(-),The Dark Knight,Warner Bros.,Action,391297,69%,663,590,525625565,79,Dark-Knight-The
10/5/08,-,(-),The Dark Knight,Warner Bros.,Action,205822,-47%,663,310,525831387,80,Dark-Knight-The
10/6/08,-,(-),The Dark Knight,Warner Bros.,Action,73283,-64%,663,111,525904670,81,Dark-Knight-The
10/7/08,-,(-),The Dark Knight,Warner Bros.,Action,79145,8%,663,119,525983815,82,Dark-Knight-The
10/8/08,-,(-),The Dark Knight,Warner Bros.,Action,84659,7%,663,128,526068474,83,Dark-Knight-The
10/9/08,-,(-),The Dark Knight,Warner Bros.,Action,94112,11%,663,142,526162586,84,Dark-Knight-The
10/10/08,-,(-),The Dark Knight,Warner Bros.,Action,151495,61%,375,404,526314081,85,Dark-Knight-The
10/11/08,-,(-),The Dark Knight,Warner Bros.,Action,235381,55%,375,628,526549462,86,Dark-Knight-The
10/12/08,-,(-),The Dark Knight,Warner Bros.,Action,141452,-40%,375,377,526690914,87,Dark-Knight-The
10/13/08,-,(-),The Dark Knight,Warner Bros.,Action,92199,-35%,375,246,526783113,88,Dark-Knight-The
10/14/08,-,(-),The Dark Knight,Warner Bros.,Action,48409,-47%,375,129,526831522,89,Dark-Knight-The
10/15/08,-,(-),The Dark Knight,Warner Bros.,Action,49425,2%,375,132,526880947,90,Dark-Knight-The
10/16/08,-,(-),The Dark Knight,Warner Bros.,Action,63257,28%,375,169,526944204,91,Dark-Knight-The
10/17/08,-,(-),The Dark Knight,Warner Bros.,Action,130274,106%,290,449,527074478,92,Dark-Knight-The
10/18/08,-,(-),The Dark Knight,Warner Bros.,Action,185498,42%,290,640,527259976,93,Dark-Knight-The
10/19/08,-,(-),The Dark Knight,Warner Bros.,Action,96376,-48%,290,332,527356352,94,Dark-Knight-The
10/20/08,-,(-),The Dark Knight,Warner Bros.,Action,38195,-60%,290,132,527394547,95,Dark-Knight-The
10/21/08,-,(-),The Dark Knight,Warner Bros.,Action,47262,24%,290,163,527441809,96,Dark-Knight-The
10/22/08,-,(-),The Dark Knight,Warner Bros.,Action,41096,-13%,290,142,527482905,97,Dark-Knight-The
10/23/08,-,(-),The Dark Knight,Warner Bros.,Action,43381,6%,290,150,527526286,98,Dark-Knight-The
10/24/08,-,(-),The Dark Knight,Warner Bros.,Action,89699,107%,166,540,527615985,99,Dark-Knight-The
10/25/08,-,(-),The Dark Knight,Warner Bros.,Action,134264,50%,166,809,527750249,100,Dark-Knight-The
10/26/08,-,(-),The Dark Knight,Warner Bros.,Action,71986,-46%,166,434,527822235,101,Dark-Knight-The
10/27/08,-,(-),The Dark Knight,Warner Bros.,Action,25198,-65%,166,152,527847433,102,Dark-Knight-The
10/28/08,-,(-),The Dark Knight,Warner Bros.,Action,30584,21%,166,184,527878017,103,Dark-Knight-The
10/29/08,-,(-),The Dark Knight,Warner Bros.,Action,31607,3%,166,190,527909624,104,Dark-Knight-The
10/30/08,-,(-),The Dark Knight,Warner Bros.,Action,33187,5%,166,200,527942811,105,Dark-Knight-The
10/31/08,-,(-),The Dark Knight,Warner Bros.,Action,49209,48%,149,330,527992020,106,Dark-Knight-The
11/1/08,-,(-),The Dark Knight,Warner Bros.,Action,141048,187%,149,947,528133068,107,Dark-Knight-The
11/2/08,-,(-),The Dark Knight,Warner Bros.,Action,80211,-43%,149,538,528213279,108,Dark-Knight-The
11/3/08,-,(-),The Dark Knight,Warner Bros.,Action,28074,-65%,149,188,528241353,109,Dark-Knight-The
11/4/08,-,(-),The Dark Knight,Warner Bros.,Action,27232,-3%,149,183,528268585,110,Dark-Knight-The
11/5/08,-,(-),The Dark Knight,Warner Bros.,Action,23017,-15%,149,154,528291602,111,Dark-Knight-The
11/6/08,-,(-),The Dark Knight,Warner Bros.,Action,24290,6%,149,163,528315892,112,Dark-Knight-The
11/7/08,-,(-),The Dark Knight,Warner Bros.,Action,60432,149%,125,483,528376324,113,Dark-Knight-The
11/8/08,-,(-),The Dark Knight,Warner Bros.,Action,99890,65%,125,799,528476214,114,Dark-Knight-The
11/9/08,-,(-),The Dark Knight,Warner Bros.,Action,59103,-41%,125,473,528535317,115,Dark-Knight-The
11/10/08,-,(-),The Dark Knight,Warner Bros.,Action,32507,-45%,125,260,528567824,116,Dark-Knight-The
11/11/08,-,(-),The Dark Knight,Warner Bros.,Action,39658,22%,125,317,528607482,117,Dark-Knight-The
11/12/08,-,(-),The Dark Knight,Warner Bros.,Action,15467,-61%,125,124,528622949,118,Dark-Knight-The
11/13/08,-,(-),The Dark Knight,Warner Bros.,Action,17787,15%,125,142,528640736,119,Dark-Knight-The
11/14/08,-,(-),The Dark Knight,Warner Bros.,Action,140375,689%,346,406,528781111,120,Dark-Knight-The
11/15/08,-,(-),The Dark Knight,Warner Bros.,Action,229775,64%,346,664,529010886,121,Dark-Knight-The
11/16/08,-,(-),The Dark Knight,Warner Bros.,Action,132184,-42%,346,382,529143070,122,Dark-Knight-The
11/17/08,-,(-),The Dark Knight,Warner Bros.,Action,43621,-67%,346,126,529186691,123,Dark-Knight-The
11/18/08,18,(-),The Dark Knight,Warner Bros.,Action,49291,13%,346,142,529235982,124,Dark-Knight-The
11/19/08,17,-18,The Dark Knight,Warner Bros.,Action,45846,-7%,346,133,529281828,125,Dark-Knight-The
11/20/08,16,-17,The Dark Knight,Warner Bros.,Action,44013,-4%,346,127,529325841,126,Dark-Knight-The
11/21/08,15,-16,The Dark Knight,Warner Bros.,Action,110455,151%,345,320,529436296,127,Dark-Knight-The
11/22/08,15,-15,The Dark Knight,Warner Bros.,Action,164631,49%,345,477,529600927,128,Dark-Knight-The
11/23/08,15,-15,The Dark Knight,Warner Bros.,Action,95363,-42%,345,276,529696290,129,Dark-Knight-The
11/24/08,16,-15,The Dark Knight,Warner Bros.,Action,37592,-61%,346,109,529733882,130,Dark-Knight-The
11/25/08,-,-16,The Dark Knight,Warner Bros.,Action,49467,32%,345,143,529783349,131,Dark-Knight-The
11/26/08,-,(-),The Dark Knight,Warner Bros.,Action,69253,40%,322,215,529852602,132,Dark-Knight-The
11/27/08,-,(-),The Dark Knight,Warner Bros.,Action,63021,-9%,322,196,529915623,133,Dark-Knight-The
11/28/08,-,(-),The Dark Knight,Warner Bros.,Action,135567,115%,305,444,530051190,134,Dark-Knight-The
11/29/08,-,(-),The Dark Knight,Warner Bros.,Action,139084,3%,305,456,530190274,135,Dark-Knight-The
11/30/08,-,(-),The Dark Knight,Warner Bros.,Action,68715,-51%,305,225,530258989,136,Dark-Knight-The
12/1/08,-,(-),The Dark Knight,Warner Bros.,Action,21302,-69%,305,70,530280291,137,Dark-Knight-The
12/2/08,-,(-),The Dark Knight,Warner Bros.,Action,23106,8%,305,76,530303397,138,Dark-Knight-The
12/3/08,-,(-),The Dark Knight,Warner Bros.,Action,24492,6%,305,80,530327889,139,Dark-Knight-The
12/4/08,-,(-),The Dark Knight,Warner Bros.,Action,25578,4%,305,84,530353467,140,Dark-Knight-The
12/5/08,-,(-),The Dark Knight,Warner Bros.,Action,53245,108%,269,198,530406712,141,Dark-Knight-The
12/6/08,-,(-),The Dark Knight,Warner Bros.,Action,81269,53%,269,302,530487981,142,Dark-Knight-The
12/7/08,-,(-),The Dark Knight,Warner Bros.,Action,52904,-35%,269,197,530540885,143,Dark-Knight-The
12/8/08,-,(-),The Dark Knight,Warner Bros.,Action,18252,-65%,269,68,530559137,144,Dark-Knight-The
12/9/08,-,(-),The Dark Knight,Warner Bros.,Action,17705,-3%,269,66,530576842,145,Dark-Knight-The
12/10/08,-,(-),The Dark Knight,Warner Bros.,Action,17528,-1%,269,65,530594370,146,Dark-Knight-The
12/11/08,-,(-),The Dark Knight,Warner Bros.,Action,17003,-3%,269,63,530611373,147,Dark-Knight-The
12/12/08,-,(-),The Dark Knight,Warner Bros.,Action,31498,85%,205,154,530642871,148,Dark-Knight-The
12/13/08,-,(-),The Dark Knight,Warner Bros.,Action,53745,71%,205,262,530696616,149,Dark-Knight-The
12/14/08,-,(-),The Dark Knight,Warner Bros.,Action,27010,-50%,205,132,530723626,150,Dark-Knight-The
12/15/08,-,(-),The Dark Knight,Warner Bros.,Action,8406,-69%,205,41,530732032,151,Dark-Knight-The
12/16/08,-,(-),The Dark Knight,Warner Bros.,Action,9331,11%,205,46,530741363,152,Dark-Knight-The
12/17/08,-,(-),The Dark Knight,Warner Bros.,Action,8865,-5%,205,43,530750228,153,Dark-Knight-The
12/18/08,-,(-),The Dark Knight,Warner Bros.,Action,9594,8%,205,47,530759822,154,Dark-Knight-The
12/19/08,-,(-),The Dark Knight,Warner Bros.,Action,14969,56%,157,95,530774791,155,Dark-Knight-The
