year,title,non_adj_gross,infl_adj_gross,rt_url,rt_score
1977,Star Wars Ep. IV: A New Hope,460998007,1284600464,http://www.rottentomatoes.com/m/star_wars/,0.93
1997,Titanic,658672302,1110601190,http://www.rottentomatoes.com/m/titanic/,0.88
1982,ET: The Extra-Terrestrial,435110554,1060155772,http://www.rottentomatoes.com/m/et_the_extraterrestrial/,0.98
2009,Avatar,760507625,805469145,http://www.rottentomatoes.com/m/avatar/,0.83
1980,Star Wars Ep. V: The Empire Strikes Back,290271960,761835156,http://www.rottentomatoes.com/m/empire_strikes_back/,0.96
1994,The Lion King,422780140,737246722,http://www.rottentomatoes.com/m/the_lion_king/,0.9
1999,Star Wars Ep. I: The Phantom Menace,474544677,736934284,http://www.rottentomatoes.com/m/star_wars_episode_i_the_phantom_menace/,0.57
1993,Jurassic Park,395708305,736267832,http://www.rottentomatoes.com/m/jurassic_park/,0.93
1983,Star Wars Ep. VI: Return of the Jedi,309205079,733586163,http://www.rottentomatoes.com/m/return_of_the_jedi/,0.78
1981,Raiders of the Lost Ark,248159971,685705118,http://www.rottentomatoes.com/m/raiders_of_the_lost_ark/,0.95
2012,The Avengers,623279547,638939832,http://www.rottentomatoes.com/m/marvels_the_avengers/,0.92
1994,Forrest Gump,329694499,633678391,http://www.rottentomatoes.com/m/forrest_gump/,0.71
1977,Close Encounters of the Third Kind,166000000,587327355,http://www.rottentomatoes.com/m/close_encounters_of_the_third_kind/,0.96
2008,The Dark Knight,533345358,585975751,http://www.rottentomatoes.com/m/the_dark_knight/,0.94
1978,Grease,181813770,583630724,http://www.rottentomatoes.com/m/grease/,0.79
2004,Shrek 2,441226247,554550157,http://www.rottentomatoes.com/m/shrek_2/,0.89
2002,Spider-Man,403706375,548234646,http://www.rottentomatoes.com/m/spiderman/,0.89
1996,Independence Day,306169255,546452224,http://www.rottentomatoes.com/m/1071806-independence_day/,0.6
1984,Beverly Hills Cop,234760478,521554398,http://www.rottentomatoes.com/m/beverly_hills_cop/,0.83
1990,Home Alone,285761243,519397359,http://www.rottentomatoes.com/m/home_alone/,0.54
1984,Ghostbusters,238632124,518616036,http://www.rottentomatoes.com/m/ghostbusters/,0.97
2006,Pirates of the Caribbean: Dead Man's Chest,423315812,509917824,http://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_mans_chest/,0.54
2003,The Lord of the Rings: The Return of the King,377845905,507646933,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king/,0.94
2003,Finding Nemo,380529370,501552278,http://www.rottentomatoes.com/m/finding_nemo/,0.99
1989,Batman,251188924,492329625,http://www.rottentomatoes.com/m/1001781-batman/,0.72
1978,National Lampoon's Animal House,141600000,477446158,http://www.rottentomatoes.com/m/national_lampoons_animal_house/,0.91
2002,The Lord of the Rings: The Two Towers,342548984,474656274,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers/,0.96
2004,Spider-Man 2,373524485,474574584,http://www.rottentomatoes.com/m/spiderman_2/,0.94
2004,The Passion of the Christ,370782930,471059905,http://www.rottentomatoes.com/m/passion_of_the_christ/,0.49
2005,Star Wars Ep. III: Revenge of the Sith,380270577,468061089,http://www.rottentomatoes.com/m/star_wars_episode_iii_revenge_of_the_sith_3d/,0.8
2012,The Dark Knight Rises,448139099,459398869,http://www.rottentomatoes.com/m/the_dark_knight_rises/,0.88
1999,The Sixth Sense,293506292,454323148,http://www.rottentomatoes.com/m/sixth_sense/,0.85
2001,The Lord of the Rings: The Fellowship of the Ring,315544750,448990381,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring/,0.91
1982,Tootsie,177200000,448447094,http://www.rottentomatoes.com/m/tootsie/,0.88
1985,Back to the Future,210609762,443824169,http://www.rottentomatoes.com/m/back_to_the_future/,0.96
2001,Harry Potter and the Sorcerer's Stone,317575550,441739040,http://www.rottentomatoes.com/m/harry_potter_and_the_sorcerers_stone/,0.8
1996,Twister,241888385,431430171,http://www.rottentomatoes.com/m/1071167-twister/,0.58
1978,Superman,134218018,431250492,http://www.rottentomatoes.com/m/superman_the_movie/,0.93
