year,total_gross_adj,tickets_sold_adj,num_movies_adj,avg_ticket_price,avg_ticket_price_infl_adj,avg_gross_per_movie,avg_tickets_per_movie,num_indoor_screens,num_drivein_screens,num_total_screens,avg_gross_per_screen,avg_tickets_per_screen,total_gross_adj_change,tickets_sold_adj_change,num_movies_adj_change,avg_ticket_price_change,avg_ticket_price_infl_adj_change,avg_gross_per_movie_change,avg_tickets_per_movie_change,num_indoor_screens_change,num_drivein_screens_change,num_total_screens_change,avg_gross_per_screen_change,avg_tickets_per_screen_change
2014,10232.21,1260.12,698,8.12,8.12,14.66,1.81,39056,606,39662,257985.17,31771.57,-0.0633,-0.0621,0.0160,-0.0012,-0.0180,-0.0781,-0.0769,0.0000,0.0000,0.0000,-0.0633,-0.0621
2013,10923.6,1343.6,687,8.13,8.27,15.9,1.96,39056,606,39662,275417.28,33876.25,0.0080,-0.0132,0.0331,0.0214,0.0066,-0.0243,-0.0448,0.0000,0.0000,0.0000,0.0080,-0.0132
2012,10837.4,1361.5,665,7.96,8.21,16.3,2.05,39056,606,39662,273243.91,34327.57,0.0652,0.0612,0.1047,0.0038,-0.0166,-0.0357,-0.0394,0.0021,0.0000,0.0021,0.0630,0.0590
2011,10174.3,1283,602,7.93,8.35,16.9,2.13,38974,606,39580,257056.59,32415.36,-0.0370,-0.0419,0.1231,0.0051,-0.0257,-0.1426,-0.1469,0.0019,-0.0194,0.0015,-0.0385,-0.0434
2010,10565.6,1339.1,536,7.89,8.57,19.71,2.5,38902,618,39520,267348.18,33884.11,-0.0028,-0.0521,0.0288,0.0520,0.0350,-0.0307,-0.0786,0.0077,-0.0159,0.0073,-0.0101,-0.0590
2009,10595.5,1412.7,521,7.5,8.28,20.34,2.71,38605,628,39233,270066.02,36007.95,0.1002,0.0532,-0.1431,0.0446,0.0483,0.2839,0.2291,0.0106,-0.0079,0.0103,0.0890,0.0425
2008,9630.7,1341.3,608,7.18,7.9,15.84,2.21,38201,633,38834,247996.6,34539.32,-0.0034,-0.0451,-0.0365,0.0436,0.0050,0.0343,-0.0089,0.0011,-0.0032,0.0010,-0.0045,-0.0461
2007,9663.8,1404.6,631,6.88,7.86,15.32,2.23,38159,635,38794,249105.53,36206.63,0.0493,-0.0010,0.0378,0.0504,0.0213,0.0111,-0.0374,0.0104,-0.0231,0.0099,0.0391,-0.0108
2006,9209.5,1406,608,6.55,7.7,15.15,2.31,37765,650,38415,239737.08,36600.29,0.0417,0.0194,0.1115,0.0218,-0.0101,-0.0628,-0.0829,0.0196,0.0031,0.0193,0.0220,0.0001
2005,8840.5,1379.2,547,6.41,7.78,16.16,2.52,37040,648,37688,234570.69,36595.2,-0.0576,-0.0869,-0.0073,0.0322,-0.0016,-0.0507,-0.0803,0.0348,0.0125,0.0344,-0.0889,-0.1173
2004,9380.5,1510.5,551,6.21,7.79,17.02,2.74,35795,640,36435,257458.49,41457.39,0.0152,-0.0142,0.0889,0.0299,0.0029,-0.0677,-0.0947,0.0223,0.0095,0.0220,-0.0066,-0.0355
2003,9239.7,1532.3,506,6.03,7.77,18.26,3.03,35016,634,35650,259178.12,42981.77,0.0093,-0.0275,0.0564,0.0379,0.0149,-0.0446,-0.0794,-0.0002,-0.0481,-0.0011,0.0103,-0.0265
2002,9155,1575.7,479,5.81,7.65,19.11,3.29,35022,666,35688,256528.81,44152.1,0.0883,0.0594,-0.0062,0.0265,0.0106,0.0951,0.0661,0.0057,-0.0249,0.0051,0.0827,0.0540
2001,8412.5,1487.3,482,5.66,7.57,17.45,3.09,34823,683,35506,236931.79,41888.69,0.0981,0.0468,0.0084,0.0501,0.0210,0.0890,0.0381,-0.0245,0.0000,-0.0240,0.1251,0.0725
2000,7661,1420.8,478,5.39,7.42,16.03,2.97,35696,683,36379,210588.53,39055.5,0.0286,-0.0303,0.0369,0.0610,0.0265,-0.0080,-0.0648,-0.0206,0.0000,-0.0203,0.0499,-0.0103
1999,7448,1465.2,461,5.08,7.22,16.16,3.18,36448,683,37131,200587.11,39460.29,0.0718,-0.0105,-0.0943,0.0832,0.0598,0.1834,0.0926,0.0907,-0.0893,0.0867,-0.0137,-0.0894
1998,6949,1480.7,509,4.69,6.82,13.65,2.91,33418,750,34168,203377.43,43335.87,0.0916,0.0670,-0.0020,0.0218,0.0061,0.0937,0.0691,0.0763,-0.0798,0.0723,0.0180,-0.0049
1997,6365.9,1387.7,510,4.59,6.78,12.48,2.72,31050,815,31865,199777.18,43549.35,0.0769,0.0367,0.0828,0.0385,0.0152,-0.0055,-0.0426,0.0742,-0.0133,0.0718,0.0048,-0.0328
1996,5911.5,1338.6,471,4.42,6.67,12.55,2.84,28905,826,29731,198832.87,45023.71,0.0761,0.0602,0.1460,0.0161,-0.0131,-0.0610,-0.0749,0.0708,-0.0259,0.0678,0.0078,-0.0071
1995,5493.5,1262.6,411,4.35,6.76,13.37,3.07,26995,848,27843,197302.73,45347.12,0.0180,-0.0225,-0.0927,0.0407,0.0120,0.1221,0.0774,0.0451,-0.0128,0.0432,-0.0242,-0.0630
1994,5396.2,1291.7,453,4.18,6.68,11.91,2.85,25830,859,26689,202188.17,48398.22,0.0470,0.0383,-0.0195,0.0097,-0.0156,0.0678,0.0590,0.0420,0.0263,0.0415,0.0053,-0.0030
1993,5154.2,1244,462,4.14,6.79,11.16,2.69,24789,837,25626,201131.66,48544.45,0.0581,0.0604,-0.0375,-0.0024,-0.0314,0.0994,0.1017,0.0183,-0.0379,0.0163,0.0411,0.0433
1992,4871,1173.2,480,4.15,7.01,10.15,2.44,24344,870,25214,193186.33,46529.71,0.0141,0.0286,0.0480,-0.0143,-0.0431,-0.0324,-0.0186,0.0254,-0.0323,0.0233,-0.0090,0.0051
1991,4803.2,1140.6,458,4.21,7.32,10.49,2.49,23740,899,24639,194942.98,46292.46,-0.0435,-0.0404,0.1171,-0.0047,-0.0449,-0.1438,-0.1410,0.0365,-0.0121,0.0346,-0.0756,-0.0725
1990,5021.8,1188.6,410,4.23,7.67,12.25,2.9,22904,910,23814,210875.96,49911.82,-0.0023,-0.0588,-0.1833,0.0655,0.0109,0.2216,0.1525,0.0455,-0.1026,0.0390,-0.0397,-0.0941
1989,5033.4,1262.8,502,3.97,7.59,10.03,2.52,21907,1014,22921,219597.75,55093.58,0.1290,0.1641,-0.0157,-0.0341,-0.0785,0.1470,0.1826,0.0127,-0.3227,-0.0090,0.1392,0.1747
